id,contact_id,location_id,organization_id,service_id,number,extension,department,number_type,vanity_number,country_prefix
1,,1,1,1,316-689-6866,,,voice,,
2,,2,2,2,316-263-5360,,,voice,,
3,,4,4,,316-264-8051,,,voice,,1
4,,5,4,,316-263-0006,,,voice,,1
5,,6,5,,316-687-4673 ,,,voice,,1
